id,city_id,language,name
5931,1352,original,Mesquita
5988,1363,es,São Pedro da Aldeia
1011,368,original,أبو ظبي
1012,368,en,Abu Dhabi
1013,368,es,Abu Dabi
1014,368,ru,Абу-Даби
1015,368,ka,აბუ-ზაბი
1021,370,original,دبي
1022,370,en,Dubai
1023,370,es,Dubái
1024,370,ru,Дубай
1025,370,ka,დუბაი
1026,371,original,کابل
1027,371,en,Kabul
1028,371,es,Kabul
1029,371,ru,Кабул
1030,371,ka,ქაბული
1031,372,original,جلال آباد
1032,372,en,Jalalabad
1033,372,es,Jalalabad
1034,372,ru,Джелалабад
1035,372,ka,ჯალალაბადი
1036,373,original,Tiranë
1037,373,en,Tirana
1038,373,es,Tirana
1039,373,ru,Тирана
1040,373,ka,ტირანა
1041,374,original,Գյումրի
1042,374,en,Gyumri
1043,374,es,Guiumri
1044,374,ru,Гюмри
1045,374,ka,გიუმრი
1046,375,original,Երևան
1047,375,en,Yerevan
1048,375,es,Ereván
1049,375,ru,Ереван
1050,375,ka,ერევანი
1061,378,original,Luanda
1062,378,en,Luanda
1063,378,es,Luanda
1064,378,ru,Луанда
1065,378,ka,ლუანდა
1071,380,original,Buenos Aires
1072,380,en,Buenos Aires
1073,380,es,Buenos Aires
1074,380,ru,Буэнос-Айрес
1075,380,ka,ბუენოს-აირესი
1076,381,original,Córdoba
1077,381,en,Cordoba
1078,381,es,Córdoba
1079,381,ru,Кордова
1080,381,ka,კორდოვა
1081,382,original,Salzburg
1082,382,en,Salzburg
1083,382,es,Salzburgo
1084,382,ru,Зальцбург
1085,382,ka,ზალცბურგი
1086,383,original,Klagenfurt
1087,383,en,Klagenfurt
1088,383,es,Klagenfurt
1089,383,ru,Клагенфурт
1090,383,ka,კლაგენფურთი;ცელოვწი
1091,384,original,Wien
1092,384,en,Vienna
1093,384,es,Viena
1094,384,ru,Вена
1095,384,ka,ვენა
1096,385,original,Canberra
1097,385,en,Canberra
1098,385,es,Canberra
1099,385,ru,Канберра
1100,385,ka,კანბერა
1101,386,original,Naxçıvan
1102,386,en,Nakhchivan
1103,386,es,Najicheván
1217,409,en,Bujumbura
1218,409,es,Buyumbura
1219,409,ru,Бужумбура
1220,409,ka,ბუჟუმბურა
1221,410,original,Porto-Novo
1222,410,en,Porto-Novo
1223,410,es,Porto Novo
1224,410,ru,Порто-Ново
1225,410,ka,პორტო-ნოვო
1226,411,original,Bandar Seri Begawan
1227,411,en,Bandar Seri Begawan
1228,411,es,Bandar Seri Begawan
1229,411,ru,Бандар-Сери-Бегаван
1230,411,ka,ბანდარ-სერი-ბეგავანი
1231,412,original,Porto Alegre
1232,412,en,Porto Alegre
1233,412,es,Porto Alegre
1234,412,ru,Порту-Алегри
1235,412,ka,პორტუ-ალეგრი
1236,413,original,São Paulo
1237,413,en,São Paulo
1238,413,es,São Paulo
1239,413,ru,Сан-Паулу
1240,413,ka,სან-პაულუ
1241,414,original,Goiânia
1242,414,en,Goiânia
1243,414,es,Goiania
1244,414,ru,Гояния
5932,1352,en,mosque
5933,1352,es,mezquita
1104,386,ru,Нахичевань
1105,386,ka,ნახიჩევანი
1106,387,original,Tovuz
1107,387,en,Tovuz
1108,387,es,Tovuz
1109,387,ru,Товуз
1110,387,ka,თოვუზი
1111,388,original,Bakı
1112,388,en,Baku
1113,388,es,Bakú
1114,388,ru,Баку
1115,388,ka,ბაქო
1126,391,original,Şəmkir
1127,391,en,Shamkir
1128,391,es,Shamkir
1129,391,ru,Шамкир
1130,391,ka,შამქორი
1131,392,original,Şəki
1132,392,en,Sheki
1133,392,es,Şəki
1134,392,ru,Шеки
1135,392,ka,შაქი
1141,394,original,Banja Luka
1142,394,en,Banja Luka
1143,394,es,Banja Luka
1144,394,ru,Баня-Лука
1145,394,ka,ბანია-ლუკა
1146,395,original,Sarajevo
1147,395,en,Sarajevo
1148,395,es,Sarajevo
1149,395,ru,Сараево
1150,395,ka,სარაევო
1161,398,original,Tuzla
1162,398,en,Tuzla
1163,398,es,Tuzla
1164,398,ru,Тузла
1165,398,ka,ტუზლა
1166,399,original,Bridgetown
1167,399,en,Bridgetown
1168,399,es,Bridgetown
1169,399,ru,Бриджтаун
1170,399,ka,ბრიჯტაუნი
1171,400,original,ঢাকা
1172,400,en,Dhaka
1173,400,es,Daca
1174,400,ru,Дакка
1175,400,ka,დაკა
1176,401,original,Gent
1177,401,en,Ghent
1178,401,es,Gante
1179,401,ru,Гент
1180,401,ka,გენტი
1181,402,original,Bruxelles - Brussel
1182,402,en,Brussels
1183,402,es,Bruselas
1184,402,ru,Брюссель
1185,402,ka,ბრიუსელი
1186,403,original,Antwerpen
1187,403,en,Antwerp
1188,403,es,Amberes
1189,403,ru,Антверпен
1190,403,ka,ანტვერპენი
1191,404,original,Ouagadougou
1192,404,en,Ouagadougou
1193,404,es,Uagadugú
1194,404,ru,Уагадугу
1195,404,ka,უაგადუგუ
1196,405,original,София
1197,405,en,Sofia
1198,405,es,Sofía
1199,405,ru,София
1200,405,ka,სოფია
1201,406,original,Пловдив
1202,406,en,Plovdiv
1203,406,es,Plovdiv
1204,406,ru,Пловдив
1205,406,ka,პლოვდივი
1245,414,ka,გოიანია
1246,415,original,Brasília
1247,415,en,Brasília
1248,415,es,Brasilia
1249,415,ru,Бразилиа
1250,415,ka,ბრაზილია
1251,416,original,Manaus
1252,416,en,Manaus
1253,416,es,Manaos
