{12038,16107,16135,16817,16854}	Aberdeen
{4860,4878}	Abobo
{7826,7886}	Achaguas
{4191,8171}	Adelaide
{4866,4876}	Adjamé
{4657,4757}	Ajax
{12304,12463}	Ajmer
{15622,15671}	Akdepe
{16301,17040}	Akron
{6713,6714,6770}	Alba Iulia
{8191,16183,16604,16919,17129}	Albany
{4054,4064}	Albuquerque
{6689,14909,14927,15957,16338,16669,17074}	Alexandria
{16359,17103}	Allentown
{7850,8001}	Altagracia de Orituco
{16345,17089}	Altoona
{6937,6945}	Altyn Asyr
{12305,12470}	Alwar
{5591,5696}	Amaravati
{16071,16784}	Ames
{7855,8022}	Anaco
{15885,16571}	Anaheim
{16105,16815}	Anaktuvuk Pass
{6952,15625}	Andalyp
{16219,16956}	Anderson
{17231,17270}	Andijon
{6510,6517}	Angra do Heroísmo
{17227,17262}	Angren
{7282,7639}	Ankeny
{16310,17048}	Ann Arbor
{7590,7593,16409,16410,17137}	Ansonia
{15870,16558}	Antioch
{16282,17021}	Appleton
{6703,14915,14932}	Arad
{16649,17075}	Arlington
{8185,8228}	Armidale
{16224,16962}	Asheville
{16249,16988}	Ashland
{16306,17044}	Ashtabula
{16199,16906}	Atlanta
{16362,17086}	Atlantic City
{16104,16814}	Atqasuk
{4864,4875}	Attécoubé
{7586,7589,7591,7597,16173,16465,16904,17204}	Auburn
{3641,3647}	Augsburg
{16467,16922,17206}	Augusta
{7262,15990,16265,16703,17001}	Aurora
{15634,15655}	Babadaýhan
{6750,6789}	Bacău
{5206,5220}	Badajoz
{14634,14685}	Baguio
{6727,6728,6775}	Baia Mare
{15837,16525}	Bakersfield
{3557,3562}	Bakı
{12152,12197}	Balikpapan
{5518,5568}	Banda Aceh
{12145,12184}	Bandar Lampung
{5368,12000,16469,17208}	Bangor
{3563,3565}	Banja Luka
{5511,5532}	Banjar
{12151,12195}	Banjarbaru
{12150,12194}	Banjarmasin
{3812,3814}	Bar
{7852,8027,11927,11947}	Barcelona
{12311,12556}	Bardhaman
{5598,5710}	Baripada
{7858,8025}	Barrancas del Orinoco
{8489,8543}	Barrie
{15898,16586}	Barstow
{16011,16725}	Bartlesville
{5603,5718}	Baruipur
{12160,12219}	Batam
{3680,3686,7577,7776}	Bath
{8222,8566}	Bathurst
{15950,16666}	Baton Rouge
{16286,17025}	Battle Creek
{5517,5561}	Baubau
{16051,16765}	Beatrice
{15947,16663}	Beaumont
{7513,7693}	Beckley
{3684,7581,7780}	Belfast
{4629,8473}	Belize City
{7469,7682,8545}	Belleville
{16113,16829}	Bellevue
{16120,16836}	Bellingham
{3602,3603}	Belmopan
